name,addressBuilding,addressStreet,addressStreet2,addressCity,addressStateProvince,addressPostCode,addressCountry
Cepha Controls Limited,2 De Salis Court,Hampton Lovett Industrial Estate,,Droitwich,,WR9 0QE,United Kingdom
CF Services,"35 Glenburn Road,",College Milton Industrial Estate,"East Kilbride,",Glasgow,,"G74 5BA,",United Kingdom
CFCS Analytical Services Limited,Clement Cottage,Gwern Y Brenin,,Oswestry,,SY10 8AP,United Kingdom
Chain Products Ltd,Stirling Park,Stirling Road,,Solihull,West Midlands,B90 4NE,United Kingdom
Chainstream (UK) Ltd,196 Morland Road,,,Croydon,,CR0 6NF,United Kingdom
Chartered Association of Building Engineers,Lutyens House,Billing Brook Road,Weston Favell,Northampton,,NN3 8NW,United Kingdom
Chello,"Unit D, Homme Castle",Shelsley Walsh,,Worcester,,WR6 6RR,United Kingdom
Chemsol Cymru Limited,Conwy Morfa Business Park,Sam Pari Road,,Conwy,,LL32 8HH,United Kingdom
CHH Conex Limited,4 Holford Way,Witton,,Birmingham,,B6 7AX,United Kingdom
Chilfen Joinery Ltd,Unit 1 Flint Road,,,Letchworth,Herts,SG6 1HJ,United Kingdom
Chrisbeon Office Supplies,Unit B2 & B3 Stafford Park 4,,,Telford,Shropshire,TF3 3BA,United Kingdom
Christchurch Timber & Trading Ltd,1 Stour Road,,,Christchurch,Dorset,BH23 1PL,United Kingdom
Christmas Creations Ltd,Chestnut Barn,Blackbirds Farm,Blackbirds Lane,"Aldenham, Watford",,WD25 8BS,United Kingdom
Chroma Group Ltd,Unit 8 Ely Road,Theale,,Reading,Berkshire,RG7 4BQ,United Kingdom
Cimtek Engineering Ltd,"Units G2 & G3, Court Works Industrial Estate",Bridgnorth Road,Madeley,Telford,,TF7 4JB,United Kingdom
"City, University of London",Properties Department,Northampton Square,,London,,EC1V 0HB,United Kingdom
Clad Design Resource Limited,The Mille,1000 Great West Road,Brentford,Middlesex,,TW8 9DW,United Kingdom
Clarke Banks,3 Abbey Lane Court,,,Evesham,Worcestershire,WR11 4BY,United Kingdom
Clifford James Consultants Limited,Bearl Farm,,,Stocksfield,,NE43 7AL,United Kingdom
Climavent Systems Ltd,Unit R Yew Tree Trading Estate,Kilbuck Lane,Haydock,Merseyside,,WA11 9UX,United Kingdom
COA Network Ltd,"COA Network Ltd,",18 Buckingham Road,,Richmond,,TW10 7EQ,United Kingdom
Cole Groundworks Contracts Ltd,135 Kilbroney Road,Rostrevor,,Newry,,BT34 3BW,United Kingdom
Commercial Vehicle Linings Limited,1 Hopesay Hill Road,Craven Arms Business Park,,Craven Arms,Shropshire,SY7 8BW,United Kingdom
Commodore Kitchens Ltd,Acorn House,Gumley Road,Grays,Essex,,RM20 4XP,United Kingdom
Community Wood Recycling,"NCWRP, 97 Church Street",,,Brighton,,BN1 1UJ,United Kingdom
Concept Care Solutions Limited,58 High Street,,,Watford,Herts,WD17 2BS,United Kingdom
Confrere Building Control Ltd,Cutter Mill,Tileyard North,,Wakefield,,WF1 5FT,United Kingdom
Consortiq Ltd,Airport House,Purley Way,Croydon,London,,CR0 0XZ,United Kingdom
Construction Muzzy Limited,"Theobalds Business Park, Innovation Place",Platinum Way,Cheshunt,Waltham Cross,,EN8 8YD,United Kingdom
Consult Design Manage Ltd,Unit 3 New Cross Industrial Estate,Brickheath Road,,Wolverhampton,,WV1 2RZ,United Kingdom
Contented Ltd,33b Government Row,,,Greater London,,EN3 6JN,United Kingdom
Contract Energy Management Limited,Commerce Road,Brentford,,Middlesex,,TW8 8LG,United Kingdom
Copperstone Projects Limited,92 Albert Embankment,,,London,,SE1 7TY,United Kingdom
Corgin Limited,Tollgate Drive,Tollgate Industrial Estate,,Stafford,,ST16 3HS,United Kingdom
Corroconsult UK Ltd,The Kiosk,Overley,,Telford,Shropshire,TF6 5HD,United Kingdom
Corrosion Management Ltd,5 Church Park Cottages,Holne,,Newton Abbott,,TQ13 7SG,United Kingdom
Corrugated Box Supplies Limited,6 Brunel Road,Manor Trading Estate,,Benfleet,,SS7 4PS,United Kingdom
Cowie Engineering Limited,3 Telford Place,,,Cumbernauld,,G67 2NH,United Kingdom
Craig & Parsons Ltd,Unit 3 & 4 North Close,Shorncliffe Industrial Estate,,Folkstone,Kent,CT20 3UH,United Kingdom
Creative Vehicle Wrapping Limited,Unit 14-15 Norton Canes Business Park,Norton Green Lane,,Cannock,Staffordshire,WS11 9SS,United Kingdom
Critec Power Ltd,93 Seagrave Road,Sileby,,Loughborough,,LE12 7TW,United Kingdom
